iter	Passed	Remaining
413	3113	4407
414	3117	4394
415	3121	4382
416	3126	4371
417	3129	4356
418	3130	4341
419	3132	4326
420	3134	4310
421	3135	4295
422	3137	4280
423	3145	4272
424	3147	4258
425	3150	4244
426	3153	4232
427	3155	4217
428	3158	4203
429	3160	4189
430	3162	4175
431	3167	4164
432	3173	4155
433	3181	4149
434	3187	4140
435	3191	4127
436	3192	4113
437	3196	4101
438	3198	4087
439	3200	4073
440	3202	4059
441	3203	4044
442	3208	4034
443	3210	4020
444	3211	4005
445	3212	3990
446	3214	3977
447	3216	3963
448	3218	3949
449	3228	3946
450	3230	3932
451	3232	3918
452	3240	3912
453	3241	3898
454	3243	3884
455	3245	3871
456	3255	3868
457	3258	3856
458	3260	3843
459	3262	3830
460	3264	3816
461	3267	3805
462	3269	3792
463	3272	3780
464	3276	3770
465	3283	3762
466	3285	3749
467	3286	3736
468	3290	3725
469	3293	3713
470	3295	3701
471	3297	3688
472	3298	3675
473	3307	3669
474	3309	3657
475	3313	3647
476	3315	3635
477	3316	3622
478	3319	3610
479	3321	3598
480	3324	3587
481	3326	3574
482	3333	3567
483	3337	3558
484	3339	3546
485	3341	3533
486	3344	3522
487	3345	3510
488	3349	3500
489	3351	3488
490	3353	3476
491	3354	3463
492	3358	3453
493	3365	3447
494	3372	3440
495	3375	3429
496	3379	3420
497	3380	3408
498	3383	3396
499	3394	3394
500	3399	3385
501	3401	3373
502	3402	3361
503	3403	3349
504	3406	3339
505	3408	3327
506	3409	3315
507	3421	3314
508	3424	3303
509	3427	3293
510	3429	3281
511	3433	3272
512	3437	3263
513	3453	3265
514	3458	3257
515	3461	3246
516	3463	3235
517	3464	3223
518	3465	3212
519	3469	3202
520	3480	3199
521	3482	3189
522	3488	3181
523	3492	3172
524	3494	3161
525	3499	3153
526	3521	3160
527	3528	3154
528	3532	3145
529	3552	3150
530	3559	3144
531	3563	3134
532	3572	3130
533	3576	3121
534	3583	3114
535	3585	3104
536	3596	3100
537	3598	3090
538	3606	3084
539	3610	3075
540	3612	3064
541	3624	3062
542	3635	3059
543	3678	3083
544	3682	3074
545	3693	3070
546	3721	3082
547	3727	3074
548	3728	3063
549	3746	3065
550	3749	3055
551	3752	3045
552	3761	3040
553	3767	3032
554	3790	3039
555	3794	3029
556	3842	3056
557	3896	3086
558	3914	3088
559	3935	3092
560	3937	3081
561	3940	3071
562	3947	3064
563	3967	3066
564	3979	3063
565	4012	3076
566	4023	3072
567	4046	3077
568	4048	3066
569	4057	3061
570	4059	3050
571	4081	3053
572	4082	3042
573	4092	3037
574	4095	3027
575	4097	3015
576	4105	3009
577	4125	3012
578	4143	3013
579	4161	3013
580	4176	3011
581	4180	3002
582	4186	2994
583	4195	2988
584	4208	2985
585	4212	2975
586	4221	2970
587	4229	2963
588	4231	2952
589	4233	2942
590	4239	2933
591	4248	2927
592	4270	2930
593	4283	2927
594	4307	2931
595	4312	2923
596	4316	2913
597	4317	2902
598	4338	2904
599	4346	2897
600	4347	2886
601	4349	2875
602	4359	2870
603	4382	2873
604	4392	2867
605	4402	2862
606	4403	2851
607	4407	2841
608	4411	2832
609	4423	2828
610	4425	2817
611	4427	2806
612	4429	2796
613	4434	2788
614	4436	2777
615	4440	2767
616	4453	2764
617	4455	2754
618	4461	2745
619	4466	2737
620	4482	2735
621	4485	2726
622	4488	2716
623	4491	2706
624	4493	2696
625	4506	2692
626	4517	2687
627	4534	2685
628	4572	2697
629	4582	2691
630	4586	2681
631	4599	2678
632	4602	2668
633	4603	2657
